expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
12/16/2022,2022,NA,NA,Goodwill Archer,47.82,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,chairs,Supplies,21 S Broadway,NA,Denver,CO,'80209',No,No,No,Terrance Roberts,NA,NA
12/16/2022,2022,NA,NA,Goodwill Archer,47.82,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,more chairs,Supplies,21 S Broadway,NA,Denver,CO,'80209',No,No,No,Terrance Roberts,NA,NA
12/16/2022,2022,NA,NA,USPS,212,Committee to Elect Stacie Gilmore,City Council,11,NA,PO Box,Supplies,4710 Nome Street,NA,Denver,CO,'80239',No,No,No,Stacie Gilmore,NA,NA
12/14/2022,2022,NA,NA,Office Max,13.7,Guy for Denver,City Council,7,NA,Paper products,Supplies,343 S Broadway,NA,Denver,CO,'80209',No,No,No,Guy Padgett,NA,NA
12/12/2022,2022,NA,NA,Staples,15.83,Kaplan for Denver,City Council,10,NA,"Name tags, markers",Supplies,870 S Colorado Blvd.,NA,Glendale,CO,'80246',No,No,No,Noah Kaplan,NA,NA
12/12/2022,2022,NA,NA,Staples,15.83,Kaplan for Denver,City Council,10,NA,"Name tags, markers",Supplies,870 S Colorado Blvd.,NA,Glendale,CO,'80246',No,No,No,Noah Kaplan,NA,NA
12/11/2022,2022,NA,NA,Votebuilder,1300,Chris Hansen for Denver Mayor,Mayor,NA,NA,Technology,Supplies,"1101 15th St NW, Suite 500",NA,"Washington, DC",DC,'20005',No,No,No,Chris Hansen,NA,NA
12/6/2022,2022,NA,NA,BaseBuilder,547.18,Shannon Loves D10,City Council,10,NA,Management/Field,Staffing,3126 Oakland Ave,NA,Minneapolis,MN,'55407',Yes,No,No,Shannon Hoffman,NA,NA
12/5/2022,2022,NA,NA,Dell Technologies,1077.35,Sarah Parady for Denver,City Council At-Large,NA,NA,laptop,Supplies,501 Dell Way,NA,Round Rock,TX,'78682',No,No,No,Sarah Parady,NA,NA
12/5/2022,2022,NA,NA,Zoom,16.3,Chris Hansen for Denver Mayor,Mayor,NA,NA,Technology,Supplies,55 Almaden Blvd,NA,San Jose,CA,'95113',No,No,No,Chris Hansen,NA,NA
12/2/2022,2022,Hayley,Banyai-Becker,Democratic Socialists of America,600,Candi for Council,City Council,9,NA,Field,Staffing,4033 N Federal Blvd,NA,Denver,CO,'80211',No,No,No,Candi CdeBaca,NA,NA
12/2/2022,2022,NA,NA,"Jay Movement Coaching, LLC",1050,Candi for Council,City Council,9,NA,Field,Staffing,"2890 S Colorado Blvd, Unit 12-L",NA,Denver,CO,'80222',No,No,No,Candi CdeBaca,NA,NA
11/29/2022,2022,NA,NA,Denver Streets Partnership,5000,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,1525 Market St. #100,NA,Denver,CO,'80202',No,No,No,Chris Nevitt,NA,NA
11/29/2022,2022,NA,NA,New Era Colorado Foundation,5000,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,907 Acoma St.,NA,Denver,CO,'80205',No,No,No,Chris Nevitt,NA,NA
11/29/2022,2022,NA,NA,Denver Audubon,5000,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,9308 South Wadsworth Blvd,NA,Littleton,CO,'80128',No,No,No,Chris Nevitt,NA,NA
11/29/2022,2022,NA,NA,SWEEP Southwest Energy Efficiency Project,5000,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,2234 Broadway #A,NA,Boulder,CO,'80304',No,No,No,Chris Nevitt,NA,NA
11/29/2022,2022,NA,NA,The Nature Conservancy,531.95,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,2424 Spruce St.,NA,Boulder,CO,'80302',No,No,No,Chris Nevitt,NA,NA
11/29/2022,2022,NA,NA,Bicycle Colorado,5000,Nevitt for Auditor,Auditor,NA,NA,Charity,Donation,1525 Market St. #100,NA,Denver,CO,'80202',No,No,No,Chris Nevitt,NA,NA
11/28/2022,2022,NA,NA,Amazon,522.56,Sarah Parady for Denver,City Council At-Large,NA,NA,laptop,Supplies,410 Terry Ave. N,NA,Seattle,WA,'98109',Yes,No,No,Sarah Parady,NA,NA
11/27/2022,2022,NA,NA,Colorado Democratic Party - Federal Account,200,Tiffany Caudill for City Council,City Council,2,NA,DYD Dinner,Event,789 Sherman St # 110,NA,Denver,CO,'80203',No,No,No,Tiffany Caudill,NA,NA
11/21/2022,2022,NA,NA,BaseBuilder,1049.82,Shannon Loves D10,City Council,10,NA,Management/Field,Staffing,81 Prospect St,NA,Brooklyn,NY,'11201',Yes,No,No,Shannon Hoffman,NA,NA
11/14/2022,2022,NA,NA,Votebuilder,800,Chris Hansen for Denver Mayor,Mayor,NA,NA,Technology,Supplies,"1101 15th St NW, Suite 500",NA,"Washington, DC",DC,'20005',No,No,No,Chris Hansen,NA,NA
11/11/2022,2022,NA,NA,Votebuilder,1300,Chris Hansen for Denver Mayor,Mayor,NA,NA,Technology,Supplies,"1101 15th St NW, Suite 500",NA,"Washington, DC",DC,'20005',No,No,No,Chris Hansen,NA,NA
11/4/2022,2022,NA,NA,BaseBuilder,2620.22,Shannon Loves D10,City Council,10,NA,Management/Field,Staffing,81 Prospect St,NA,Brooklyn,NY,'11201',Yes,No,No,Shannon Hoffman,NA,NA
11/4/2022,2022,NA,NA,Amazon Marketplace,544.31,Sarah Parady for Denver,City Council At-Large,NA,NA,office equiptment,Supplies,410 Terry Ave. N,NA,Seattle,WA,'98109',Yes,No,No,Sarah Parady,NA,NA
11/2/2022,2022,NA,NA,United States Post Office,69,Tony Pigford for Denver,City Council,4,NA,PO Box,Supplies,3800 Buchtel Blvd,NA,Denver,CO,'80210',Yes,No,No,Tony Pigford,NA,NA
10/31/2022,2022,NA,NA,Bank of the West,3,Walker for Council-at-Large,City Council At-Large,NA,NA,Paper Statement Free,Supplies,2050 South Downing Street,NA,Denver,CO,'80210',No,No,No,Jeff Walker,NA,NA
10/31/2022,2022,NA,NA,Rail~Volution Conference - Miami,220,Nevitt for Auditor,Auditor,NA,NA,Education,Research,1624 Harmon Pl,NA,Minneapolis,MN,'55403',No,No,No,Chris Nevitt,NA,NA
10/19/2022,2022,NA,NA,Campaign Products of the Rockies,832.41,Partners for a Fair and Equitable Denver,NA,NA,NA,Campaign materials,Supplies,PO BOX 13365,NA,Denver,CO,'80201',No,No,No,NA,NA,NA
10/18/2022,2022,NA,NA,BaseBuilder,1275.43,Shannon Loves D10,City Council,10,NA,Management/Field,Staffing,81 Prospect St,NA,Brooklyn,NY,'11201',Yes,No,No,Shannon Hoffman,NA,NA
10/14/2022,2022,NA,NA,USPS,212,Ortega for Denver,Mayor,NA,NA,Setup a campaign PO Box,Supplies,3700 Tennyson St,NA,Denver,CO,'80212',No,No,No,Deborah Ortega,NA,NA
10/12/2022,2022,NA,NA,New Bridge Strategy,35000,Partners for a Fair and Equitable Denver,NA,NA,NA,Survey,Research,17145 West 62nd Circle,NA,Golden,CO,'80403',No,No,No,NA,NA,NA
10/12/2022,2022,NA,NA,Denver Elections Division,40,Marty Zimmerman for Denver,City Council At-Large,NA,NA,Master Voter History Report,Research,200 W. 14th Ave.,NA,Denver,CO,'80204',No,No,No,Marty Zimmerman,NA,NA
10/11/2022,2022,NA,NA,The Denver North Star,150,Denver Deserves Sidewalks,NA,NA,NA,media,Marketing and advertising,PO Box 11584,NA,Denver,CO,'80211',No,No,No,NA,NA,NA
10/11/2022,2022,NA,NA,G.E.S. Gazette,90,Denver Deserves Sidewalks,NA,NA,NA,media,Marketing and advertising,PO Box 11584,NA,Denver,CO,'80211',No,No,No,NA,NA,NA
10/5/2022,2022,NA,NA,MICROSOFT,99.99,Drum for Denver City Council District 8,City Council,8,NA,Microsoft office for campaign use,Supplies,7595 Technology Way,NA,Denver,CO,'80237',No,No,No,Tyler Drum,NA,NA
10/4/2022,2022,NA,NA,The Hanover Insurance Group,256,Shannon Loves D10,City Council,10,NA,Employee Insurance,Insurance,3705 Kipling Street #104,NA,Wheat Ridge,CO,'80033',No,No,No,Shannon Hoffman,NA,NA
10/3/2022,2022,NA,NA,Altitude Arts,256,Ortega for Denver,Mayor,NA,NA,Daughter promotion picture and family portraits,Marketing and advertising,3371 W. Belmont Ave,NA,Littleton,CO,'80123',No,No,No,Deborah Ortega,NA,NA
9/26/2022,2022,NA,NA,USPS,40,Watson for Denver,City Council,9,NA,po box,Supplies,951 20TH ST,NA,DENVER,CO,'80202',No,No,No,Darrell Watson,NA,NA
9/20/2022,2022,NA,NA,BaseBuilder,425.15,Shannon Loves D10,City Council,10,NA,Management/Field,Staffing,81 Prospect St,NA,Brooklyn,NY,'11201',Yes,No,No,Shannon Hoffman,NA,NA
9/19/2022,2022,NA,NA,Gamino Priniting Company,129.96,Waste No More,NA,NA,NA,Priniting,Supplies,1090 S Raritan Street,NA,Denver,CO,'80223',No,No,No,NA,NA,NA
9/13/2022,2022,Marshall,Vanderburg,NA,401.36,Ortega at Large,City Council At-Large,NA,NA,Bookeeping,Staffing,2043 Grove St,NA,Denver,CO,'80211',No,No,No,Deborah Ortega,NA,NA
9/9/2022,2022,NA,NA,Toni Translation,60,Tafoya for Mayor,Mayor,NA,NA,Translation,Staffing,333 S Federal Blvd,NA,Denver,CO,'80219',No,No,No,Ean Tafoya,NA,NA
9/8/2022,2022,NA,NA,United States Postal Service,44,Flor For Denver,City Council,7,NA,PO Box,Supplies,225 S Broadway,NA,Denver,CO,'80209',No,No,No,Flor Alvidrez,NA,NA
9/7/2022,2022,Sarah,Parady,NA,157.77,Sarah Parady for Denver,City Council At-Large,NA,NA,reimbusement for campaign laptop,Supplies,2300 Lafayette St.,NA,Denver,CO,'80205',No,No,No,Sarah Parady,NA,NA
9/1/2022,2022,NA,NA,Change Research,5250,Denver Deserves Sidewalks,NA,NA,NA,Polling,Staffing,PO Box 10193,NA,Berkeley,CA,'94709',No,No,No,NA,NA,NA
8/22/2022,2022,NA,NA,Amazon,90.53,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,campaign materials,Supplies,410 Terry Avenue North,NA,Seattle,WA,'98109',No,No,No,Terrance Roberts,NA,NA
8/16/2022,2022,NA,NA,UPS Store,4.19,Tafoya for Mayor,Mayor,NA,NA,Office suplies,Supplies,"2255 Sheridan Boulevard Ste C,",NA,Edgewater,CO,'80214',No,No,No,Ean Tafoya,NA,NA
8/10/2022,2022,NA,NA,Newegg,765.71,Estroff for Denver District 7,City Council,7,NA,Laptop,Supplies,17560 Rowland Street,NA,City of Industry,CA,'91745',No,No,No,Adam Estroff,NA,NA
8/8/2022,2022,NA,NA,Best Buy,54.06,Tafoya for Mayor,Mayor,NA,NA,Campaign Tech,Supplies,"384 S Wadsworth Blvd,",NA,Lakewood,CO,'80226',No,No,No,Ean Tafoya,NA,NA
8/3/2022,2022,NA,NA,Colorado Democratic Party,800,Will Chan for Denver,City Council At-Large,NA,NA,Voter Record Access,Research,789 Sherman St,Suite 110,Denver,CO,'80203',No,No,No,Will Chan,NA,NA
7/28/2022,2022,NA,NA,Amazon,5.98,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,equipment insurance,Insurance,410 Terry Avenue North,NA,Seattle,WA,'98109',No,No,No,Terrance Roberts,NA,NA
7/27/2022,2022,NA,NA,Spring Hill Suites Pueblo,232.75,Tiffany Caudill for City Council,City Council,2,NA,lodging for candidate training,Research,150 S Santa Fe,NA,Pueblo,CO,'81003',No,No,No,Tiffany Caudill,NA,NA
7/25/2022,2022,NA,NA,Office Max,30.24,Guy for Denver,City Council,7,NA,Office products,Supplies,343 S Broadway,NA,Denver,CO,'80209',No,No,No,Guy Padgett,NA,NA
7/22/2022,2022,NA,NA,Francis L Dean & Associates,43.26,NEWR Denver,NA,NA,NA,Liability insurance,Insurance,12800 University Dr,Suite 125,Fort Myers,FL,'33907',No,No,No,NA,NA,NA
7/20/2022,2022,NA,NA,Costco,658.54,Waste No More,NA,NA,NA,Campaign Laptop Purchase,Supplies,400 s Zuni Street,NA,Denver,CO,'80223',No,No,No,NA,NA,NA
7/11/2022,2022,NA,NA,Office Depot,12.73,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,receipt copies,Supplies,616 E Colfax Ave,NA,Denver,CO,'80203',No,No,No,Terrance Roberts,NA,NA
7/6/2022,2022,NA,NA,CO Democratic Party,800,Tafoya for Mayor,Mayor,NA,NA,Voter Action Network Access,Research,789 Sherman St # 110,NA,Denver,CO,'80203',No,No,No,Ean Tafoya,NA,NA
7/2/2022,2022,NA,NA,United States Postal Service,88,Flor For Denver,City Council,7,NA,PO Box,Supplies,225 S Broadway,NA,Denver,CO,'80209',No,No,No,Flor Alvidrez,NA,NA
6/27/2022,2022,NA,NA,Colorado Democratic Party,800,Leslie for Council,City Council,8,NA,Voter information,Research,789 Sherman St.,#110,Denver,CO,'80203',No,No,No,Leslie Twarogowski,NA,NA
6/26/2022,2022,x,NA,United States Postal Service,69,Diaz for Denver,City Council At-Large,NA,NA,PO Box,Supplies,450 W 14th Ave,NA,Denver,CO,'80204',No,No,No,Dominic Diaz,NA,NA
6/16/2022,2022,NA,NA,Egan Printing,415.65,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,fyers,Supplies,1245 Elati Street,NA,Denver,CO,'80204',No,No,No,Terrance Roberts,NA,NA
6/16/2022,2022,NA,NA,USPS,138,Jolon Clark for Denver,City Council,7,NA,PO Box,Supplies,225 S. Broadway,NA,Denver,CO,'80209',No,No,No,Jolon Clark,NA,NA
6/1/2022,2022,NA,NA,Scarlett Greene LLC,1000,Travis Leiker for Denver,City Council At-Large,NA,NA,bookkeeping,Staffing,191 University Blvd,Ste 118,Denver,CO,'80206',No,No,No,Travis Leiker,NA,NA
5/26/2022,2022,NA,NA,Walgreens,5.97,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,rubber bands,Supplies,2000 E Colfax Ave,NA,Denver,CO,'80206',No,No,No,Terrance Roberts,NA,NA
5/26/2022,2022,NA,NA,Name Badges Inc,17.38,Clarke For Denver,Auditor,NA,NA,Name tag,Supplies,12240 SW 53RD STREET SUITE 511,NA,Cooper City,FL,'33330',No,No,No,Erik Clarke,NA,NA
5/26/2022,2022,NA,NA,Linguabee,19.92,Sarah Parady for Denver,City Council At-Large,NA,NA,Translation,Staffing,280 Kohl St,NA,Broomfield,CO,'80020',No,No,No,Sarah Parady,NA,NA
5/19/2022,2022,NA,NA,Name Tag Wizard,28.94,Tiffany Caudill for City Council,City Council,2,NA,campaign name tag,Supplies,2021-2 St. Augustine Rd E,NA,Jacksonville,FL,'32207',Yes,No,No,Tiffany Caudill,NA,NA
5/5/2022,2022,Tiffany,Caudill,NA,78,Tiffany Caudill for City Council,City Council,2,NA,PO Box,Supplies,4893 S Flower Street,NA,Denver,CO,'80123',Yes,No,No,Tiffany Caudill,NA,NA
4/30/2022,2022,NA,NA,Landa Services,105.08,Sarah Parady for Denver,City Council At-Large,NA,NA,Translation,Staffing,20880 E 45TH AVE,NA,Denver,CO,'80249',No,No,No,Sarah Parady,NA,NA
4/29/2022,2022,NA,NA,Scarlett Greene LLC,1000,Travis Leiker for Denver,City Council At-Large,NA,NA,bookkeeping,Staffing,191 University Blvd,Ste 118,Denver,CO,'80206',No,No,No,Travis Leiker,NA,NA
4/27/2022,2022,NA,NA,Chipotle Mexican Grill,304.8,Sarah Parady for Denver,City Council At-Large,NA,NA,Prelaunch dinner with committee,Event,"610 Newport Center Drive, Suite 1300",NA,Newport Beach,CA,'92660',No,No,No,Sarah Parady,NA,NA
4/5/2022,2022,NA,NA,Scarlett Greene LLC,1000,Travis Leiker for Denver,City Council At-Large,NA,NA,bookkeeping,Staffing,191 University Blvd,Ste 118,Denver,CO,'80206',No,No,No,Travis Leiker,NA,NA
3/14/2022,2022,NA,NA,Scarlett Greene LLC,500,Travis Leiker for Denver,City Council At-Large,NA,NA,bookkeeping,Staffing,191 University Blvd,Ste 118,Denver,CO,'80206',No,No,No,Travis Leiker,NA,NA
2/11/2022,2022,NA,NA,ActBlue LLC,800,NEWR Denver,NA,NA,NA,Voter List,Research,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,NA,NA,NA
12/16/2021,2021,NA,NA,USPS,188,Committee to Elect Stacie Gilmore,City Council,11,NA,PO Box Renewal,Supplies,4710 Nome Street,NA,Denver,CO,'80239',No,No,No,Stacie Gilmore,NA,NA
11/16/2021,2021,NA,NA,"Shushi Train, Inc.",45.86,Denver County Republican Central Committee PAC,NA,NA,NA,Promotional,Marketing and advertising,3460 S Locust St,NA,Denver,CO,'80222',No,No,No,NA,NA,NA
11/3/2021,2021,NA,NA,"Taff Productions, Inc.",750,Friends of National Western Stock Show,NA,NA,and 4 others,Television editing,Marketing and advertising,714 S Clarkson St,NA,Denver,CO,'80209',No,No,No,NA,and 4 others,NA
11/2/2021,2021,NA,NA,Community Language Cooperative,54.54,Keep Denver Housed,NA,NA,NA,Spanish Translation,Staffing,4193 South Decatur St.,NA,Englewood,CO,'80110',No,No,No,NA,NA,NA
10/28/2021,2021,NA,NA,Bluewest Media,15000,Rise Denver,NA,NA,and 4 others,Media,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,NA,and 4 others,NA
10/26/2021,2021,NA,NA,Keating Research,29000,Friends of National Western Stock Show,NA,NA,and 4 others,Polling,Staffing,"308 Adams Ranch Rd., Unit 24",NA,Mountain Village,CO,'81435',No,No,No,NA,and 4 others,NA
10/22/2021,2021,NA,NA,Bluewest Media,250000,Rise Denver,NA,NA,and 4 others,Media/TV,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,NA,and 4 others,NA
10/15/2021,2021,NA,NA,Keating Research Inc.,18000,Rise Denver,NA,NA,and 4 others,Polling,Staffing,308 Adams Ranch Rd. Unit 24,NA,Mountain Village,CO,'81435',No,No,No,NA,and 4 others,NA
10/15/2021,2021,NA,NA,Bluewest Media,250000,Rise Denver,NA,NA,and 4 others,Media/TV,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,NA,and 4 others,NA
10/12/2021,2021,NA,NA,Strategies 360 Inc.,26160,Empower Northeast Denver,NA,NA,and 1 others,Polling,Staffing,999 18th St. #2155N,NA,Denver,CO,'80202',No,No,No,NA,and 1 others,NA
10/8/2021,2021,NA,NA,Bluewest Media,198430,Rise Denver,NA,NA,and 4 others,Media/TV,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,NA,and 4 others,NA
10/1/2021,2021,NA,NA,Bluewest Media,35000,Rise Denver,NA,NA,and 4 others,Media/TV,Marketing and advertising,5130 East 18th Ave.,NA,Denver,CO,'80220',No,No,No,NA,and 4 others,NA
8/6/2021,2021,NA,NA,Egg  & I,37.51,Denver County Republican Central Committee PAC,NA,NA,NA,Promotional,Marketing and advertising,Leetsdale and Holly,NA,Denver,CO,'80246',No,No,No,NA,NA,NA
6/26/2021,2021,NA,NA,Office Depot,26.11,NEWR Denver,NA,NA,NA,Paper,Supplies,616 E Colfax,NA,Denver,CO,'80203',No,No,No,NA,NA,NA
6/16/2021,2021,NA,NA,USPS,106,Jolon Clark for Denver,City Council,7,NA,Post Office Box,Supplies,225 S. Broadway,NA,Denver,CO,'80209',No,No,No,Jolon Clark,NA,NA
5/8/2021,2021,NA,NA,Egg  & I,38.4,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Marketing and advertising,Leetsdale and Holly,NA,Denver,CO,'80246',No,No,No,NA,NA,NA
4/15/2021,2021,NA,NA,Dominos Pizza,79.39,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Marketing and advertising,Denver,NA,Denver,CO,'80222',No,No,No,NA,NA,NA
4/13/2021,2021,NA,NA,Black Bird Public House,130,Denver County Republican Central Committee PAC,NA,NA,NA,promotional,Marketing and advertising,S> Downing,NA,Denver,CO,'80202',No,No,No,NA,NA,NA
